,form,lemma
16,"Først i prosesjonen gikk kong Harald og brudens mor , Marit Tjessem .","først i prosesjon gå kong Harald og brud mor $, Marit Tjessem $."
17,"Bak fulgte brudens far , Sven O. Høiby , med dronning Sonja ved armen .","bak følge brud far $, Sven O. Høiby $, med dronning Sonja ved arm $."
18,"Først i tredje rekke kom svenskekongen , Carl Gustaf , og dronning Margrethe av Danmark .","først i tredje rekke komme svenskekonge $, Carl Gustaf $, og dronning Margrethe av Danmark $."
19,Det er ikke hverdagskost at monarkene i våre to naboland blir rangert bak vanlige norske statsborgere .,det være ikke hverdagskost at monark i vår to naboland bli rangere bak vanlig norsk statsborger $.
20,Men så er ikke bryllupet mellom Haakon og Mette-Marit hverdagskost det heller .,men så være ikke bryllup mellom Haakon og Mette-Marit hverdagskost det heller $.
21,Presidenter og prinser |,president og prins $|
22,Bak våre nabolands statsoverhoder fulgte Islands president Olafur Ragnar Grimsson med dronning Silvia av Sverige .,Bak vår naboland statsoverhode følge Island president Olafur Ragnar Grimsson med dronning Silvia av Sverige $.
23,"Deretter storhertug Henri av Luxembourg med Finlands kvinnelige president , Tarja Halonen , så prins Albert av Monaco med den spanske dronning Sofia og nest sist i prosesjonen den nederlandske kronprinsen , Willem-Alexander med sin forlovede Maxima Zorreguieta .","deretter storhertug Henri av Luxembourg med Finland kvinnelig president $, Tarja Halonen $, så prins Albert av Monaco med den spansk dronning Sofia og nest sist i prosesjon den nederlandsk kronprins $, Willem-Alexander med sin forlovede Maxima Zorreguieta $."
24,"Forlovede par skilles ikke i en kongelig prosesjon , ei heller ved det kongelige taffel .","forlove par skilles ikke i en kongelig prosesjon $, ei heller ved det kongelig taffel $."
25,"Prosesjonen ble avsluttet av den 90 år gamle prins Carl Bernadotte som førte brudgommens søster , Märtha Louise , til bords .","prosesjon bli avslutte av den 90 år gammel prins Carl Bernadotte som føre brudgom søster $, Märtha Louise $, til bord $."
26,"Prinsen er yngste bror av Märtha Louises farmor , kronprinsesse Märtha , som aldri opplevde å bli norsk dronning .","prins være ung bror av Märtha Louise farmor $, kronprinsesse Märtha $, som aldri oppleve å bli norsk dronning $."
27,Og bak prosesjonen kom dagens hovedpersoner : Haakon og Mette-Marit .,og bak prosesjon komme dag hovedperson $: Haakon og Mette-Marit $.
28,"Statsmakter , kongelige og familie |","statsmakt $, kongelig og familie $|"
29,"Ved hovedbordet var representanter for de tre statsmakter , brudeparets familie og de mest fremtredende kongelige plassert .","Ved hovedbord være representant for de tre statsmakt $, brudepar familie og de mye fremtredende kongelig plassere $."
30,"Nærmest brudeparet beholdt kong Harald og Sven O. Høiby sine borddamer fra prosesjonen , mens svenskekongen fikk Finlands president til bords og den islandske presidenten overtok dronning Margrethe som sin borddame .","nær brudepar beholde kong Harald og Sven O. Høiby sin borddame fra prosesjon $, mens svenskekonge få Finland president til bord og den islandsk president overta dronning Margrethe som sin borddame $."
31,"Prinsesse Märtha Louise savnet neppe sin Ari med statsminister Jens Stoltenberg som kavaler , og stortingspresident Kirsti Kolle Grøndahl var sikkert også fornøyd med storhertugen av Luxembourg .","prinsesse Märtha Louise savne neppe sin Ari med statsminister Jens Stoltenberg som kavaler $, og stortingspresident Kirsti Kolle Grøndahl være sikker også fornøyd med storhertug av Luxembourg $."
32,"Høyesterettsjustitiarius Carsten Smith hadde eks-dronning Anne-Marie av Hellas som sin borddame , mens dronning Silvia hadde overtatt sin "" onkel Mulle "" , den 90 år gamle prins Carl Bernadotte .","høyesterettsjustitiarius Carsten Smith ha eks-dronning Anne-Marie av Hellas som sin borddame $, mens dronning Silvia ha overta sin $"" onkel Mulle $"" $, den 90 år gammel prins Carl Bernadotte $."
33,"Fra den norske kongefamilien var prinsessene Ragnhild og Astrid plassert ved hovedbordet , mens Espen Høiby og Kristin Høiby Bjørnøy fra brudens familie var blant de 27 utvalgte .","fra den norsk kongefamilie være prinsesse Ragnhild og Astrid plassere ved hovedbord $, mens Espen Høiby og Kristin Høiby Bjørnøy fra brud familie være blant de 27 utvalgt $."
34,Jagland skal lede utenrikskomitéen |,Jagland skulle lede utenrikskomité $|
35,"Ap. får styringen med de store internasjonale spørsmål på Stortinget , mens Høyre konsentrerer seg om de nære ting .","Ap. få styring med de stor internasjonal spørsmål på Stortinget $, mens Høyre konsentrere seg om de nær ting $."
36,Thorbjørn Jagland skal lede utenrikskomitéen .,Thorbjørn Jagland skulle lede utenrikskomité $.
37,De parlamentariske ledere på Stortinget ble mandag kveld enige om hvilke partier som skal ha ledelsen for de forskjellige komitéene .,de parlamentarisk leder på Stortinget bli mandag kveld enig om hvilken parti som skulle ha ledelse for de forskjellig komité $.
38,"Fra før er det kjent at Fr.p. vil få ledervervene i finanskomitéen og sosialkomitéen , ved henholdsvis Siv Jensen og John Alvheim .","fra før være det kjent at Frp. ville få lederverv i finanskomité og sosialkomité $, ved henholdsvis Siv Jensen og John Alvheim $."
39,"Alvheim ledet sosialkomitéen også i forrige periode , mens Jensen var menig medlem av finanskomitéen .","Alvheim lede sosialkomité også i forrige periode $, mens Jensen være menig medlem av finanskomité $."
40,"At Arbeiderpartiet får ledervervet i utenrikskomitéen , er et signal om at partiet forbereder seg på opposisjonstilværelsen .","at Arbeiderpartiet få lederverv i utenrikskomité $, være en signal om at parti forberede seg på opposisjonstilværelse $."
41,Dette vervet bekles tradisjonelt av en representant for opposisjonen .,dette verv bekle tradisjonell av en representant for opposisjon $.
42,"Under sentrumsregjeringen ble utenrikskomitéen ledet av Ap.s Haakon Blankenborg , mens Kr.F.s Einar Steensnæs overtok vervet etter regjeringsskiftet .","under sentrumsregjering bli utenrikskomité lede av Ap. Haakon Blankenborg $, mens Krf. Einar Steensnæs overta verv etter regjeringsskifte $."
43,Thorbjørn Jagland skal nå lede utenrikskomitéen ifølge NTB .,Thorbjørn Jagland skulle nå lede utenrikskomité ifølge NTB $.
44,Ap. får også lederverv i forsvarskomitéen og næringskomitéen .,Ap. få også lederverv i forsvarskomité og næringskomité $.
45,"Høyre får lederverv i tre komitéer : familie- , kultur- og administrasjonskomitéen , justiskomitéen og samferdselskomitéen .","Høyre få lederverv i tre komité $: familie- $, kultur- og administrasjonskomité $, justiskomité og samferdselskomité $."
46,I de to sistnevnte hadde Høyre ledelsen også i forrige periode .,i de to sistnevnt ha Høyre ledelse også i forrige periode $.
47,"Kr.F. skal lede energi- og miljøkomitéen , mens Sp. får kommunalkomitéen .","Krf. skulle lede energi- og miljøkomité $, mens Sp. få kommunalkomité $."
48,SV har allerede utpekt sine komitéledere :,Sv ha allerede utpeke sin komitéleder $:
49,"Rolf Reikvam skal overta ledelsen av kirke- , utdannings- og forskningskomitéen , der han var menig medlem i forrige periode .","Rolf Reikvam skulle overta ledelse av kirke- $, utdannings- og forskningskomité $, der han være menig medlem i forrige periode $."
50,Ågot Valle blir ny leder av kontroll- og konstitusjonskomitéen .,Ågot Valle bli ny leder av kontroll- og konstitusjonskomité $.
51,Mer press fra Fr.p. i vente |,mye press fra Frp. i vente $|
52,Imøtekommende |,imøtekomme $|
53,Tettere samarbeid ?,tett samarbeid $?
54,Fr.p. trapper opp sitt politiske press mot de tre kommende regjeringspartier .,Frp. trappe opp sin politisk press mot de tre komme regjeringsparti $.
55,"Allerede i høst ønsker partiet konkrete avtaler , bl.a. om forsvarsbevilgninger .","allerede i høst ønske parti konkret avtale $, bl.a. om forsvarsbevilgning $."
56,Senere lanseres trolig krav om en generell samarbeidsavtale .,sen lansere trolig krav om en generell samarbeidsavtale $.
57,Holder spenningen oppe .,holde spenning oppe $.
58,"I går kveld møtte statsministerkandidat Kjell Magne Bondevik opp på Fr.p.-formann Carl I. Hagens kontor , vegg i vegg med hans eget .","i går kveld møte statsministerkandidat Kjell Magne Bondevik opp på Fr.p.-formann Carl I. Hagen kontor $, vegg i vegg med hans egen $."
59,Der overleverte han de tre samarbeidspartienes svar på 54 spørsmål som sist torsdag ble oversendt fra Fr.p.s stortingsgruppe .,der overlevere han de tre samarbeidsparti svar på 54 spørsmål som sist torsdag bli oversende fra Frp. stortingsgruppe $.
60,I dag skal Fr.p.-gruppen si ja eller nei til en ny regjering Bondevik .,i dag skulle Fr.p.-gruppe si ja eller nei til en ny regjering Bondevik $.
61,"Etter at 17 av 19 fylkeslag i Fr.p. har anbefalt en slik regjering , og etter at Fr.p. har fått innfridd sine krav til komitéledere i Stortinget , blir svaret ganske sikkert positivt .","etter at 17 av 19 fylkeslag i Frp. ha anbefale en slik regjering $, og etter at Frp. ha få innfri sin krav til komitéleder i Stortinget $, bli svar ganske sikker positiv $."
62,Men Hagen ville i går ikke forskuttere utfallet av Fr.p.s gruppemøte .,men Hagen ville i går ikke forskuttere utfall av Frp. gruppemøte $.
63,Før dette møtet ville han heller ikke si hva som er hans oppfatning av regjeringsspørsmålet .,før dette møte ville han heller ikke si hva som være hans oppfatning av regjeringsspørsmål $.
64,"- Noen av svarene var positive , noen negative sett med mine øyne , sa han .","$- noen av svar være positiv $, noen negativ se med min øye $, si han $."
65,Hagen forsøkte i går å holde spenningen ved like - og dermed sikre seg nok et døgns medieoppmerksomhet .,Hagen forsøke i går å holde spenning ved like $- og dermed sikre seg nok en døgn medieoppmerksomhet $.
66,"Han og hans parti har vært i fokus helt siden Fr.p.-gruppen sist onsdag vedtok å utsette avgjørelsen om støtte , be sine fylkespartier om råd og oversende listen på 54 spørsmål .","han og hans parti ha være i fokus hel siden Fr.p.-gruppe sist onsdag vedta å utsette avgjørelse om støtte $, be sin fylkesparti om råd og oversende liste på 54 spørsmål $."
67,"Selv om Bondevik , Høyre-leder Jan Petersen og Venstre-leder Lars Sponheim som ventet gir en del vage svar , og også noen negative , er tonen i svarbrevet gjennomgående imøtekommende .","selv om Bondevik $, Høyre-leder Jan Petersen og Venstre-leder Lars Sponheim som vente gi en del vag svar $, og også noen negativ $, være tone i svarbrev gjennomgående imøtekomme $."
68,I mange tilfeller gis klare signaler om politiske kursendringer i den retning Fr.p. ønsker .,i mange tilfelle gi klar signal om politisk kursendring i den retning Frp. ønske $.
69,"Andre ganger strekker de seg så langt de kan , ved å love en ny vurdering av saken .","annen gang strekke de seg så lang de kunne $, ved å love en ny vurdering av sak $."
70,Bondevik erkjenner at en ny regjering ikke vil overleve lenge uten å spille på lag med Hagen :,Bondevik erkjenne at en ny regjering ikke ville overleve lenge uten å spille på lag med Hagen $:
71,"- Vi er realistiske nok til å innse at det første budsjettet må vi søke støtte i Fr.p. for - primært eller subsidiært , sa han i går .","$- vi være realistisk nok til å innse at det første budsjett måtte vi søke støtte i Frp. for $- primær eller subsidiær $, si han i går $."
72,Og Hagen vil sørge for at presset fra Fr.p. ikke avtar .,og Hagen ville sørge for at press fra Frp. ikke avta $.
73,"I forbindelse med budsjettbehandlingen vil han kreve at de tre regjeringspartier inngår avtaler med Fr.p. på avgrensede områder , etter mønster av den avtalen om kontantstøtte som Høyre , Fr.p. og sentrumspartiene undertegnet for fire år siden .","i forbindelse med budsjettbehandling ville han kreve at de tre regjeringsparti inngå avtale med Frp. på avgrense område $, etter mønster av den avtale om kontantstøtte som Høyre $, Frp. og sentrumsparti undertegne for fire år siden $."
74,Hagen er særlig interessert i forpliktende avtaler om forsvarsbudsjettet og om pensjonsbeløpene .,Hagen være særlig interessere i forpliktende avtale om forsvarsbudsjett og om pensjonsbeløp $.
75,"I går antydet han at slike langsiktige kan brukes til å sikre Fr.p.-støtte for budsjettet , selv om partiet ikke er fornøyd med de tallene som serveres .","i går antyde han at slik langsiktig kunne bruke til å sikre Fr.p.-støtte for budsjett $, selv om parti ikke være fornøyd med de tall som servere $."
76,Både Bondevik og Hagen fastslo nok en gang at en trepartiregjering fra tid til annen vil finne det naturlig å søke støtte for sine forslag i Ap. eller endog SV .,både Bondevik og Hagen fastslå nok en gang at en trepartiregjering fra tid til annen ville finne det naturlig å søke støtte for sin forslag i Ap. eller endog Sv $.
77,Men Hagens strategi går ut på å knytte regjeringen stadig tettere til Fr.p. .,men Hagen strategi gå ut på å knytte regjering stadig tett til Frp. $.
78,Om et år eller to vil han trolig mene at tiden er inne for å presse frem en generell avtale mellom de fire partier .,om en år eller to ville han trolig mene at tid være inne for å presse frem en generell avtale mellom de fire parti $.
79,Det er heller ikke utelukket at Fr.p. igjen vil fremme krav om regjeringsdeltagelse .,det være heller ikke utelukket at Frp. igjen ville fremme krav om regjeringsdeltagelse $.
80,"I går berørte han så vidt disse spørsmålene , ved å si at det er "" noe for tidlig "" å snakke om en generell avtale .","i går berøre han så vid disse spørsmål $, ved å si at det være $"" noen for tidlig $"" å snakke om en generell avtale $."
81,"- Vi får se hvordan eventuelt utviklingen blir , bemerket han .","$- vi få se hvordan eventuell utvikling bli $, bemerke han $."
82,"Da Aftenposten forsøkte å få ham til å utdype muligheten , svarte Hagen bare :","da Aftenposten forsøke å få han til å utdype mulighet $, svare Hagen bare $:"
83,- Jeg har ingen ting mer å si om det nå .,$- jeg ha ingen ting mye å si om det nå $.
84,Fr.p. baner veien for Bondevik II |,Frp. bane vei for Bondevik II $|
85,"Etter helgens fylkesstyremøter i Fremskrittspartiet og svarene fra Høyre , Kristelig Folkeparti og Venstre på Fr.p.s 54 spørsmål i går kveld , er det ikke lenger noen tvil :","etter helg fylkesstyremøte i Fremskrittspartiet og svar fra Høyre $, Kristelig Folkeparti og Venstre på Frp. 54 spørsmål i går kveld $, være det ikke lenge noen tvil $:"
86,I kveld kommer Fr.p.s stortingsgruppe til å konkludere med at partiet foretrekker en trepartiregjering under ledelse av Kjell Magne Bondevik fremfor en fortsatt Ap.-regjering .,i kveld komme Frp. stortingsgruppe til å konkludere med at parti foretrekke en trepartiregjering under ledelse av Kjell Magne Bondevik fremfor en fortsette Ap.-regjering $.
87,"Carl I. Hagen vil fortsette å gjøre seg kostbar til gruppemøtet er holdt - både fordi han ønsker at stortingsgruppen , og ikke han selv , skal gi det endelige klarsignal og fordi han vil at de tre partiene skal føle at støtten slett ikke er noen selvfølge .","Carl I. Hagen ville fortsette å gjøre seg kostbar til gruppemøte være holde $- både fordi han ønske at stortingsgruppe $, og ikke han selv $, skulle gi det endelig klarsignal og fordi han ville at de tre parti skulle føle at støtte slett ikke være noen selvfølge $."
88,Men i realiteten falt vel Fr.p. på plass torsdag da de tre påtroppende regjeringspartiene ble enige om å gi partiets første nestformann Siv Jensen den innflytelsesrike posisjonen som leder for Stortingets finanskomité .,men i realitet falle vel Frp. på plass torsdag da de tre påtroppende regjeringsparti bli enig om å gi parti første nestformann Siv Jensen den innflytelsesrik posisjon som leder for Stortinget finanskomité $.
89,Ingen regjeringskonstellasjon har tidligere overlatt denne posisjonen til et opposisjonsparti .,ingen regjeringskonstellasjon ha tidlig overlate denne posisjon til en opposisjonsparti $.
90,I det lå en gest som langt på vei tilfredsstilte Fr.p.s sårede forfengelighet .,i det ligge en gest som lang på vei tilfredsstille Frp. såre forfengelighet $.
91,Og pillen ble ytterligere sukret ved at partiets andre nestformann John Alvheim får fortsette som leder av sosialkomitéen med de politiske markeringsmuligheter det gir .,og pille bli ytterligere sukre ved at parti andre nestformann John Alvheim få fortsette som leder av sosialkomité med de politisk markeringsmulighet det gi $.
92,"Svarene på Fr.p.s spørsmål er en passende blanding av imøtekommenhet og politisk velvilje , markering av at en ny regjering trenger tid for å avgjøre hvordan den skal håndtere politisk vanskelige og økonomisk kostbare saker og noen få klare avvisninger av Fr.p.s ønsker .","svar på Frp. spørsmål være en passe blanding av imøtekommenhet og politisk velvilje $, markering av at en ny regjering trenge tid for å avgjøre hvordan den skulle håndtere politisk vanskelig og økonomisk kostbar sak og noen få klar avvisning av Frp. ønske $."
93,Men tonen i svarbrevet er preget av at de tre partiene ikke bare har innsett at de er avhengige av Hagens parti for å komme til makten .,men tone i svarbrev være prege av at de tre parti ikke bare ha innse at de være avhengig av Hagen parti for å komme til makt $.
94,De må også beholde et rimelig godt forhold til Fr.p. for å bli sittende en viss tid - helst hele stortingsperioden .,de måtte også beholde en rimelig god forhold til Frp. for å bli sitte en viss tid $- helst hel stortingsperiode $.
95,"Selv om mange i Kr.F. og Venstre ser ut til å ha vanskelig for å innse det , er det et faktum at Fr.p. blir det viktigste støttepartiet for Bondeviks andre regjering .","selv om mange i Krf. og Venstre se ut til å ha vanskelig for å innse det $, være det en faktum at Frp. bli det viktig støtteparti for Bondevik andre regjering $."
96,"De tre partiene kan nok satse på Arbeiderpartiet eller SV i noen enkeltsaker som kan være viktige for profileringen av regjeringen , men de må være forberedt på å samarbeide med Fr.p. om statsbudsjettet ikke bare for neste år , men også i resten av fireårsperioden .","de tre parti kunne nok satse på Arbeiderpartiet eller Sv i noen enkeltsak som kunne være viktig for profilering av regjering $, men de måtte være forberede på å samarbeide med Frp. om statsbudsjett ikke bare for neste år $, men også i rest av fireårsperiode $."
97,Og det er statsbudsjettene som mer enn noen andre saker angir den politiske retningen .,og det være statsbudsjett som mye enn noen annen sak angi den politisk retning $.
98,En rekke av Kr.F.s tillitsvalgte ønsker ikke at det skal skapes et inntrykk av at Bondevik skal regjere på Fr.p.s nåde .,en rekke av Krf. tillitsvalgt ønske ikke at det skulle skape en inntrykk av at Bondevik skulle regjere på Frp. nåde $.
99,Fremfor alt frykter de bindende avtaler med Fr.p. .,fremfor alt frykte de binde avtale med Frp. $.
100,De tre partiene svarer likevel at slike avtaler kan bli aktuelt på avgrensede områder der de og Fr.p. har felles politikk .,de tre parti svare likevel at slik avtale kunne bli aktuell på avgrense område der de og Frp. ha felles politikk $.
101,Dette svaret er viktig for Fr.p. uten at det nødvendigvis trenger å være kostbart for de tre partiene .,dette svar være viktig for Frp. uten at det nødvendigvis trenge å være kostbar for de tre parti $.
102,"Høyre , Kr.F. og Venstre må likevel være forberedt på at forholdet til Fr.p. kan gi dem langt vanskeligere utfordringer etter regjeringsskiftet enn de 54 spørsmålene de måtte besvare for å komme inn i regjeringskontorene .","Høyre $, Krf. og Venstre måtte likevel være forberedt på at forhold til Frp. kunne gi de lang vanskelig utfordring etter regjeringsskifte enn de 54 spørsmål de måtte besvare for å komme inn i regjeringskontor $."
103,Hagen vil være seg bevisst den makten han får etter å ha vært fødselshjelper for den nye regjeringen .,Hagen ville være seg bevisst den makt han få etter å ha være fødselshjelper for den ny regjering $.
104,"Selv om han i dag kommer til at en helhetsvurdering tilsier at et regjeringsskifte er best , vil han senere kunne fremme temmelig ubehagelige krav for å holde fast ved denne vurderingen .","selv om han i dag komme til at en helhetsvurdering tilsi at en regjeringsskifte være god $, ville han sen kunne fremme temmelig ubehagelig krav for å holde fast ved denne vurdering $."
105,Mullah Omar gir ordre om fortsatt kamp |,mullah Omar gi ordre om fortsette kamp $|
106,"Talibans åndelige leder , mullah Mohammad Omar , beordrer Taliban-soldatene til å adlyde sine offiserer og ikke desertere .","Taliban åndelig leder $, mullah Mohammad Omar $, beordre Taliban-soldat til å adlyde sin offiser og ikke desertere $."
107,"Omar befinner seg ifølge det afghanske nyhetsbyrået AIP fremdeles i Kandahar , sør i Afghanistan , der Taliban-ledelsen har sitt hovedkvarter .","Omar befinne seg ifølge det afghansk nyhetsbyrå AIP fremdeles i Kandahar $, sør i Afghanistan $, der Taliban-ledelse ha sin hovedkvarter $."
108,"Han har gitt militsen ordre om å omgruppere , og kjempe .","han ha gi milits ordre om å omgruppere $, og kjempe $."
109,"FN for fred og utvikling , i de fattiges tjeneste |","FN for fred og utvikling $, i de fattig tjeneste $|"
110,Omfattende innsats |,omfattende innsats $|
111,Bredt spekter |,bred spekter $|
112,"Kofi Annan har tatt i bruk , og fastholder stadig , det utvidede fredsbegrep , som inkluderer alle dem som lider .","Kofi Annan ha ta i bruk $, og fastholde stadig $, det utvide fredsbegrep $, som inkludere all de som lide $."
113,Særlig alle dem som lider fordi de er fattige .,særlig all de som lide fordi de være fattig $.
114,FN ble opprettet for å sikre verdensfreden .,FN bli opprette for å sikre verdensfred $.
115,"I Kofi Annan , som ble valgt til generalsekretær for snart fem år siden , har FN fått en uvanlig engasjert leder som har satt sterkt preg på verdensorganisasjonen og dens fokus .","i Kofi Annan $, som bli velge til generalsekretær for snar fem år siden $, ha FN få en uvanlig engasjere leder som ha sette sterk preg på verdensorganisasjon og den fokus $."
116,"Annan har tatt i bruk , og fastholder stadig , det utvidede fredsbegrep , som inkluderer alle dem som lider .","Annan ha ta i bruk $, og fastholde stadig $, det utvide fredsbegrep $, som inkludere all de som lide $."
117,Særlig alle dem som lider fordi de er fattige .,særlig all de som lide fordi de være fattig $.
118,Fordi de ikke har fått utdannelse .,fordi de ikke ha få utdannelse $.
119,Fordi de ikke har arbeid .,fordi de ikke ha arbeid $.
120,Fordi de er kvinner .,fordi de være kvinne $.
121,Fordi de er foreldreløse .,fordi de være foreldreløs $.
122,Fordi de er flyktninger .,fordi de være flyktning $.
123,Fordi det er krig .,fordi det være krig $.
124,"Helt siden han tiltrådte , har Kofi Annan talt de fattiges sak .","hel siden han tiltre $, ha Kofi Annan tale de fattig sak $."
125,"Skal vi tro FNs egne tall , teller de rundt halve klodens over seks milliarder mennesker .","skulle vi tro FN egen tall $, telle de rundt halv klode over seks milliard menneske $."
126,"Det finnes fattige i alle land , men det er særlig fattige mennesker i fattige land FN konsentrerer seg om .","det finnes fattig i all land $, men det være særlig fattig menneske i fattig land FN konsentrere seg om $."
127,"HIV / AIDS-arbeidet , som Annan forøvrig har fått inn på Sikkerhetsrådets dagsorden , er ett eksempel :","HIV $/ AIDS-arbeid $, som Annan forøvrig ha få inn på Sikkerhetsrådet dagsorden $, være én eksempel $:"
128,Skolegang :,skolegang $:
129,Mange blir HIV-smittet fordi de ikke vet hvordan man smittes og at man kan beskytte seg .,mange bli HIV-smitte fordi de ikke vite hvordan man smitte og at man kunne beskytte seg $.
130,Økonomi :,økonomi $:
131,"Mange HIV-smittede i fattige land får ikke medisiner som kan gi dem et bedre og lengre liv fordi det ikke finnes penger , hverken privat eller offentlig .","mange HIV-smittet i fattig land få ikke medisin som kunne gi de en god og lang liv fordi det ikke finnes penge $, hverken privat eller offentlig $."
132,Foreldreløse :,foreldreløs $:
133,"AIDS-døden , særlig i Afrika , etterlater seg hele landsbyer av foreldreløse barn .","AIDS-døden $, særlig i Afrika $, etterlate seg hel landsby av foreldreløs barn $."
134,De må sørge for familien og får ikke gått på skole .,de måtte sørge for familie og få ikke gå på skole $.
135,Uten utdannelse må de regne med å bli fattige resten av livet .,uten utdannelse måtte de regne med å bli fattig rest av liv $.
136,"En ond sirkel , som må brytes .","en ond sirkel $, som måtte bryte $."
137,En rekke av organisasjonene i den store FN-familien arbeider på feltet .,en rekke av organisasjon i den stor FN-familie arbeide på felt $.
138,"FN har opprettet en egen organisasjon , UNAIDS , med sete i Genève , som bare arbeider med dette .","FN ha opprette en egen organisasjon $, UNAIDS $, med sete i Genève $, som bare arbeide med dette $."
139,"Verdens helseorganisasjon , som ledes av Gro Harlem Brundtland , er sterkt inne i bildet .","verden helseorganisasjon $, som ledes av Gro Harlem Brundtland $, være sterk inne i bilde $."
140,"Også FNs barnefond , UNICEF , har HIV / AIDS-katastrofen høyt på dagsordenen .","også FN barnefond $, UNICEF $, ha HIV $/ AIDS-katastrofe høy på dagsorden $."
141,"UNICEF arbeider i 162 land , og prioriterte oppgaver er små barns helse og utvikling , skolegang - særlig for jenter , HIV / AIDS og tiltak for å beskytte barn mot utnyttelse seksuelt , i arbeid og som soldater .","UNICEF arbeide i 162 land $, og prioritere oppgave være liten barn helse og utvikling $, skolegang $- særlig for jente $, HIV $/ AIDS og tiltak for å beskytte barn mot utnyttelse seksuell $, i arbeid og som soldat $."
142,"FNs høykommissær , for flyktninger UNHCR , har ansvaret for ca. 22 millioner flyktninger verden over , og gir direkte bidrag til 6,4 millioner av dem .","FN høykommissær $, for flyktning UNHCR $, ha ansvar for ca. 22 million flyktning verden over $, og gi direkte bidrag til 6,4 million av de $."
143,"Den største flyktningestrømmen kommer i dag fra Afghanistan , men også fra Sudan , Angola , Kongo og Eritrea i Afrika kommer flere millioner flyktninger .","den stor flyktningestrøm komme i dag fra Afghanistan $, men også fra Sudan $, Angola $, Kongo og Eritrea i Afrika komme mange million flyktning $."
144,"I tillegg har FN-organet UNRWA ansvaret for 3,8 millioner palestinske flyktninger .","i tillegg ha FN-organ UNRWA ansvar for 3,8 million palestinsk flyktning $."
145,"Verdens matvareprogram , WFP , sørger for matleveranser i akutte situasjoner , som etter jordskjelv , men også mer "" ventede "" kriser som matmangel på grunn av tørke .","verden matvareprogram $, WFP $, sørge for matleveranse i akutt situasjon $, som etter jordskjelv $, men også mye $"" vente $"" krise som matmangel på grunn av tørke $."
146,Den internasjonale domstolen har sete i Haag .,den internasjonal domstol ha sete i Haag $.
